,SeedType,GameST,GameCity,TopSeed,TopST,TopCity,TopTravel,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,TopRPI,BotSeed,BotST,BotCity,BotTravel,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS,BotRPI
33,SixEleven,MI,Detroit,TCU,TX,Fort+Worth,1958.918,32,960,1925,0.499,271,677,0.4,689,1248,0.499,2656,2430,601,357,809,2593.8,0.599797659,0.569090909,406,0.156527103,465,657,0.341298701,1.023980261,0.93684941,9.98,25,Syracuse,NY,Syracuse,647.193,33,751,1796,0.418,193,601,0.321,558,1195,0.418,2229,2130,362,399,834,2498.8,0.527279437,0.47188196,414,0.165679526,534,722,0.402004454,0.892028174,0.852409156,9.26,44
34,ThreeFourteen,MI,Detroit,Michigan State,MI,East+Lansing,144.151,33,943,1872,0.504,277,671,0.413,666,1201,0.504,2672,2138,638,365,983,2578.2,0.615577426,0.577724359,435,0.168722364,509,678,0.362179487,1.036381972,0.829260725,7.29,15,Bucknell,PA,Lewisburg,723.227,34,942,1995,0.472,269,784,0.343,673,1211,0.472,2759,2477,492,317,936,2762,0.582854487,0.539598997,429,0.15532223,606,845,0.423558897,0.998913831,0.896813903,-4.01,82
35,SevenTen,PA,Pittsburgh,Rhode Island,RI,Kingston,853.843,31,879,1905,0.461,210,600,0.35,669,1305,0.461,2381,2115,477,350,713,2466,0.551106379,0.516535433,329,0.133414436,413,580,0.304461942,0.965531225,0.857664234,3.67,19,Oklahoma,OK,Norman,1795.476,31,925,1993,0.464,296,815,0.363,629,1178,0.464,2640,2531,467,321,854,2671,0.578085311,0.538384345,414,0.154998128,494,660,0.331159057,0.98839386,0.947585174,10.9,49
36,TwoFifteen,PA,Pittsburgh,Duke,NC,Durham,769.637,33,1008,2044,0.493,274,725,0.378,734,1319,0.493,2795,2297,578,447,932,2745.2,0.592733658,0.560176125,416,0.151537229,505,713,0.348825832,1.018140755,0.836733207,9.92,7,Iona,NY,New+Rochelle,630.903,33,931,2016,0.462,319,822,0.388,612,1194,0.462,2635,2513,526,282,835,2645.8,0.576515788,0.540922619,385,0.145513644,452,612,0.303571429,0.995918059,0.949807242,-2.72,107
37,OneSixteen,NC,Charlotte,Virginia,VA,Charlottesville,437.839,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,Kansas State,KS,Manhattan,1738.469,33,854,1809,0.472,229,665,0.344,625,1144,0.472,2388,2240,473,269,741,2431.2,0.575000482,0.535378662,379,0.155890095,451,608,0.336097291,0.982230997,0.921355709,8.96,50
38,FourThirteen,ID,Boise,Arizona,AZ,Tuscon,1680.212,34,980,1940,0.505,235,624,0.377,745,1316,0.505,2750,2420,518,341,905,2648.6,0.608202551,0.565721649,417,0.157441667,555,729,0.375773196,1.038284377,0.913690251,7.22,13,Kentucky,KY,Lexington,3148.589,33,895,1908,0.469,178,497,0.358,717,1411,0.469,2532,2318,446,400,883,2665.6,0.558654287,0.51572327,432,0.162064826,564,814,0.426624738,0.949879952,0.869597839,10.95,10
39,ThreeFourteen,TX,Dallas,Tennessee,TN,Knoxville,1356.62,32,810,1835,0.441,249,648,0.384,561,1187,0.441,2377,2114,508,367,793,2497.2,0.557687976,0.509264305,393,0.157376261,508,673,0.366757493,0.95186609,0.846548134,10.59,8,Loyola-Chicago,IL,Chicago,1490.167,33,869,1714,0.507,246,618,0.398,623,1096,0.507,2390,2054,519,209,858,2342.4,0.609432692,0.578763127,404,0.172472678,406,561,0.327304551,1.020321038,0.876878415,-0.27,23
40,TwoFifteen,TN,Nashville,Cincinnati,OH,Cincinnati,440.631,33,873,1926,0.453,244,681,0.358,629,1245,0.453,2476,1888,535,435,855,2584.4,0.553508835,0.516614746,376,0.145488315,486,706,0.366562825,0.958056028,0.730537069,3.15,6,Nevada,NV,Reno,3448.423,34,963,2056,0.468,330,830,0.398,633,1226,0.468,2825,2478,559,320,905,2698.8,0.590687832,0.548638132,338,0.125240848,569,762,0.370622568,1.046761524,0.91818586,4.35,17
41,OneSixteen,TN,Nashville,Xavier,OH,Cincinnati,440.631,33,953,1942,0.491,258,699,0.369,695,1243,0.491,2781,2458,549,322,945,2664.4,0.608363522,0.55715757,410,0.153880799,617,781,0.402162719,1.043762198,0.922534154,9.86,3,Missouri,MO,Columbia,694.939,32,778,1716,0.453,298,775,0.385,480,941,0.453,2345,2179,435,327,862,2435.8,0.583484284,0.54020979,453,0.18597586,491,667,0.388694639,0.962722719,0.894572625,9.36,46
42,FourThirteen,ID,Boise,Gonzaga,WA,Spokane,677.376,34,1049,2085,0.503,309,826,0.374,740,1259,0.503,2873,2282,535,376,981,2727,0.606425194,0.577218225,384,0.140814081,466,645,0.309352518,1.053538687,0.836817015,2.06,21,South Dakota State,SD,Brookings,2138.069,34,979,2084,0.47,361,896,0.403,618,1188,0.47,2885,2518,459,302,1019,2722,0.598101003,0.556381958,340,0.124908156,566,745,0.357485605,1.059882439,0.925055107,-0.58,36
43,ThreeFourteen,KS,Wichita,Michigan,MI,Ann+Arbor,1480.702,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12,Houston,Texas,Houston,968.944,32,891,1898,0.469,278,714,0.389,613,1184,0.469,2500,2086,480,382,860,2533.4,0.576291816,0.542676502,389,0.153548591,440,616,0.32455216,0.986816136,0.823399384,3.35,18
44,TwoFifteen,NC,Charlotte,North Carolina,NC,Chapel+Hill,227.521,35,1048,2279,0.46,290,796,0.364,758,1483,0.46,2869,2559,637,492,995,2961.8,0.559067454,0.523475208,422,0.142480924,483,652,0.286090391,0.968667702,0.864001621,12.45,5,Providence,RI,Providence,1295.876,34,872,1975,0.442,217,651,0.333,655,1324,0.442,2506,2471,468,359,862,2709,0.541018998,0.496455696,424,0.156515319,545,775,0.392405063,0.925064599,0.912144703,10.21,34
45,OneSixteen,PA,Pittsburgh,Villanova,PA,Villanova,473.168,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Alabama,AL,Tuscaloosa,1297.049,34,860,1877,0.458,217,668,0.325,643,1209,0.458,2460,2379,426,341,890,2669.2,0.554223816,0.515982952,481,0.180203806,523,778,0.414491209,0.921624457,0.891278286,10.58,40
46,FourThirteen,CA,San+Diego,Wichita State,KS,Wichita,2193.537,32,930,1944,0.478,292,758,0.385,638,1186,0.478,2656,2283,593,389,902,2587.2,0.591663251,0.553497942,370,0.14301175,504,683,0.351337449,1.026592455,0.88242115,5.88,14,WVU,WV,Morgantown,3912.029,34,944,2176,0.434,299,847,0.353,645,1329,0.434,2707,2346,512,476,813,2832.6,0.546921722,0.502527574,385,0.135917532,520,679,0.312040441,0.955659112,0.828214361,9.55,27
47,ThreeFourteen,TX,Dallas,Texas Tech,TX,Lubbock,556.285,33,863,1859,0.464,232,634,0.366,631,1225,0.464,2483,2135,447,361,821,2570.6,0.567267975,0.526627219,412,0.160273866,525,749,0.402904788,0.965922353,0.830545398,9.03,24,Florida,FL,Gainesville,1579.683,32,841,1937,0.434,292,778,0.375,549,1159,0.434,2434,2222,415,345,779,2508,0.548544127,0.509550852,315,0.125598086,460,640,0.330407847,0.970494418,0.885964912,10.2,47
48,TwoFifteen,MI,Detroit,Purdue,IN,West+Lafayette,446.774,34,958,1928,0.497,326,776,0.42,632,1152,0.497,2759,2232,568,287,904,2569.4,0.617435907,0.581431535,363,0.141278119,517,696,0.360995851,1.073791547,0.868685296,8.66,9,Arkansas,AR,Fayetteville,1425.076,34,985,2063,0.477,265,663,0.4,720,1400,0.477,2757,2568,492,346,837,2745,0.573944542,0.541686864,374,0.136247723,522,770,0.37324285,1.004371585,0.935519126,10.13,30
49,OneSixteen,KS,Wichita,Kansas,KS,Lawrence,261.897,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4,Seton Hall,NJ,South+Orange,2203.879,32,914,1950,0.469,233,640,0.364,681,1310,0.469,2528,2346,506,385,838,2629.6,0.562637989,0.528461538,410,0.15591725,467,674,0.345641026,0.961362945,0.892150897,9.82,33
50,FourThirteen,CA,San+Diego,Auburn,AL,Auburn,3312.895,32,868,1977,0.439,312,852,0.366,556,1125,0.439,2668,2346,462,388,834,2685.6,0.573970811,0.5179565,393,0.146336014,620,789,0.39908953,0.99344653,0.873547811,7.48,16,Clemson,SC,Clemson,3642.31,32,809,1786,0.453,266,726,0.366,543,1060,0.453,2345,2106,422,286,850,2416.6,0.570848507,0.52743561,387,0.160142349,461,609,0.340985442,0.970371596,0.871472316,9.05,11
51,ThreeFourteen,MI,Detroit,Michigan State,MI,East+Lansing,144.151,33,943,1872,0.504,277,671,0.413,666,1201,0.504,2672,2138,638,365,983,2578.2,0.615577426,0.577724359,435,0.168722364,509,678,0.362179487,1.036381972,0.829260725,7.29,15,TCU,TX,Fort+Worth,1958.918,32,960,1925,0.499,271,677,0.4,689,1248,0.499,2656,2430,601,357,809,2593.8,0.599797659,0.569090909,406,0.156527103,465,657,0.341298701,1.023980261,0.93684941,9.98,25
52,TwoFifteen,PA,Pittsburgh,Duke,NC,Durham,769.637,33,1008,2044,0.493,274,725,0.378,734,1319,0.493,2795,2297,578,447,932,2745.2,0.592733658,0.560176125,416,0.151537229,505,713,0.348825832,1.018140755,0.836733207,9.92,7,Rhode Island,RI,Kingston,853.843,31,879,1905,0.461,210,600,0.35,669,1305,0.461,2381,2115,477,350,713,2466,0.551106379,0.516535433,329,0.133414436,413,580,0.304461942,0.965531225,0.857664234,3.67,19
53,OneSixteen,GA,Atlanta,Virginia,VA,Charlottesville,512,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,Arizona,AZ,Tuscon,1735,34,980,1940,0.505,235,624,0.377,745,1316,0.505,2750,2420,518,341,905,2648.6,0.608202551,0.565721649,417,0.157441667,555,729,0.375773196,1.038284377,0.913690251,7.22,13
54,ThreeFourteen,GA,Atlanta,Tennessee,TN,Knoxville,214,32,810,1835,0.441,249,648,0.384,561,1187,0.441,2377,2114,508,367,793,2497.2,0.557687976,0.509264305,393,0.157376261,508,673,0.366757493,0.95186609,0.846548134,10.59,8,Nevada,NV,Reno,2390,34,963,2056,0.468,330,830,0.398,633,1226,0.468,2825,2478,559,320,905,2698.8,0.590687832,0.548638132,338,0.125240848,569,762,0.370622568,1.046761524,0.91818586,4.35,17
55,OneSixteen,CA,Los+Angeles,Xavier,OH,Cincinnati,2174,33,953,1942,0.491,258,699,0.369,695,1243,0.491,2781,2458,549,322,945,2664.4,0.608363522,0.55715757,410,0.153880799,617,781,0.402162719,1.043762198,0.922534154,9.86,3,Gonzaga,WA,Spokane,1200,34,1049,2085,0.503,309,826,0.374,740,1259,0.503,2873,2282,535,376,981,2727,0.606425194,0.577218225,384,0.140814081,466,645,0.309352518,1.053538687,0.836817015,2.06,21
56,TwoFifteen,CA,Los+Angeles,North Carolina,NC,Chapel+Hill,2544,35,1048,2279,0.46,290,796,0.364,758,1483,0.46,2869,2559,637,492,995,2961.8,0.559067454,0.523475208,422,0.142480924,483,652,0.286090391,0.968667702,0.864001621,12.45,5,Michigan,MI,Ann+Arbor,2242,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12
57,OneSixteen,MA,Boston,Villanova,PA,Villanova,309,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,WVU,WV,Morgantown,591,34,944,2176,0.434,299,847,0.353,645,1329,0.434,2707,2346,512,476,813,2832.6,0.546921722,0.502527574,385,0.135917532,520,679,0.312040441,0.955659112,0.828214361,9.55,27
58,TwoFifteen,MA,Boston,Purdue,IN,West+Lafayette,959,34,958,1928,0.497,326,776,0.42,632,1152,0.497,2759,2232,568,287,904,2569.4,0.617435907,0.581431535,363,0.141278119,517,696,0.360995851,1.073791547,0.868685296,8.66,9,Texas Tech,TX,Lubbock,2038,33,863,1859,0.464,232,634,0.366,631,1225,0.464,2483,2135,447,361,821,2570.6,0.567267975,0.526627219,412,0.160273866,525,749,0.402904788,0.965922353,0.830545398,9.03,24
59,OneSixteen,NE,Omaha,Kansas,KS,Lawrence,207,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4,Auburn,AL,Auburn,986,32,868,1977,0.439,312,852,0.366,556,1125,0.439,2668,2346,462,388,834,2685.6,0.573970811,0.5179565,393,0.146336014,620,789,0.39908953,0.99344653,0.873547811,7.48,16
60,TwoFifteen,NE,Omaha,Duke,NC,Durham,1255,33,1008,2044,0.493,274,725,0.378,734,1319,0.493,2795,2297,578,447,932,2745.2,0.592733658,0.560176125,416,0.151537229,505,713,0.348825832,1.018140755,0.836733207,9.92,7,Michigan State,MI,East+Lansing,674,33,943,1872,0.504,277,671,0.413,666,1201,0.504,2672,2138,638,365,983,2578.2,0.615577426,0.577724359,435,0.168722364,509,678,0.362179487,1.036381972,0.829260725,7.29,15
61,OneSixteen,GA,Atlanta,Virginia,VA,Charlottesville,512,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,Nevada,NV,Reno,2390,34,963,2056,0.468,330,830,0.398,633,1226,0.468,2825,2478,559,320,905,2698.8,0.590687832,0.548638132,338,0.125240848,569,762,0.370622568,1.046761524,0.91818586,4.35,17
62,ThreeFourteen,CA,Los+Angeles,Michigan,MI,Ann+Arbor,2242,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12,Gonzaga,WA,Spokane,1200,34,1049,2085,0.503,309,826,0.374,740,1259,0.503,2873,2282,535,376,981,2727,0.606425194,0.577218225,384,0.140814081,466,645,0.309352518,1.053538687,0.836817015,2.06,21
63,OneSixteen,MA,Boston,Villanova,PA,Villanova,309,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Purdue,IN,West+Lafayette,959,34,958,1928,0.497,326,776,0.42,632,1152,0.497,2759,2232,568,287,904,2569.4,0.617435907,0.581431535,363,0.141278119,517,696,0.360995851,1.073791547,0.868685296,8.66,9
64,OneSixteen,NE,Omaha,Kansas,KS,Lawrence,207,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4,Duke,NC,Durham,1255,33,1008,2044,0.493,274,725,0.378,734,1319,0.493,2795,2297,578,447,932,2745.2,0.592733658,0.560176125,416,0.151537229,505,713,0.348825832,1.018140755,0.836733207,9.92,7
65,OneSixteen,GA,Atlanta,Virginia,VA,Charlottesville,1485,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,Michigan,MI,Ann+Arbor,1448,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12
66,OneSixteen,NE,Omaha,Villanova,PA,Villanova,1743,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Kansas,KS,Lawrence,780,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4
,OneSixteen,NE,Omaha,Villanova,PA,Villanova,1743,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Michigan,MI,Ann+Arbor,1448,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12
